LIFNR,NAME1,MATERIALS_SUPPLIED,PLANTS_SERVED,REGIONS_SERVED,NETPR,WAERS,PLIFZ,AVAILABLE_CAPACITY,OTD,QUALITY_SCORE,DEFECT_RATE,RISK_SCORE,ESG_SCORE,CONTRACT_STATUS,CONTRACT_EXPIRATION,ZTERM,ORDER_COUNT,HISTORICAL_SPEND
0000300001,Bluepeak Value Supply Ltd,MAT-1000;MAT-1010,1010;1020,EU,55.0,EUR,28,900.0,86.0,78.0,3.2,42.0,64.0,Active,2028-01-15,NT30,35,280000.0
0000300002,Ravenna Frontier Trading BV,MAT-1000,1010,EU,210.0,EUR,18,1200.0,88.0,83.0,2.5,85.0,72.0,Active,2027-09-15,Z045,20,190000.0
0000300003,Kestrel Specialities SA,MAT-1100;MAT-1110,1010,EU,140.0,EUR,15,2000.0,95.0,94.0,0.8,15.0,90.0,Active,2028-05-15,NT60,70,900000.0
0000300004,Cobalt Basic Materials SpA,MAT-1000,1010,EU,118.0,EUR,22,1500.0,90.0,85.0,2.0,35.0,35.0,Active,2027-11-15,Z045,40,410000.0
0000300005,Driftwood Spot Supply AS,MAT-1000,1010,EU,132.0,EUR,20,1000.0,87.0,80.0,3.0,48.0,68.0,No contract,,Z045,12,95000.0
0000300006,Ember Boutique Components AG,MAT-1000,1010,EU,99.0,EUR,12,40.0,97.0,96.0,0.5,18.0,88.0,Active,2028-02-15,NT45,8,60000.0
0000300007,Fairmont Legacy Trading BV,MAT-1000,1010,EU,125.0,EUR,16,1100.0,92.0,88.0,1.5,25.0,79.0,Active,2026-09-01,Z030,55,520000.0
0000300008,Bramble Technologies Oy,MAT-1000;MAT-1110,1010;2010;3010;4010,APAC;EU;LATAM,98.36,GBP,28,3625.0,92.1,97.1,1.57,51.1,55.8,Active,2028-09-15,NT45,37,1035585.0
0000300009,Cobalt Systems Inc,MAT-1000;MAT-1110,1010;1020;3010,EU;LATAM;NA,180.76,GBP,47,222.0,89.3,63.5,6.17,17.7,74.1,Active,,Z045,88,135438.0
0000300010,Driftwood Engineering Sp. z o.o.,MAT-1070,1010,EU,281.96,GBP,23,2883.0,81.1,63.7,0.2,15.2,85.5,No contract,2026-01-15,Z030,84,1354880.0
0000300011,Ember Trading BV,MAT-1000;MAT-1100,1010;1020;3010,EU,159.7,USD,38,4449.0,98.4,69.1,0.24,16.2,54.8,Active,,NT30,32,545589.0
0000300012,Fairmont Logistics AS,MAT-1030;MAT-1040;MAT-1090,1010;1020;3010;4010,APAC;EU,370.44,EUR,33,2880.0,85.9,72.6,0.3,31.2,86.7,No contract,2026-10-15,NT60,24,873479.0
0000300013,Granite Systems Inc,MAT-1000;MAT-1020;MAT-1060;MAT-1100,1010;3010,APAC;EU;LATAM,277.27,EUR,29,1088.0,75.9,86.1,0.92,46.2,85.9,Active,2028-08-15,Z045,109,1291847.0
