BELNR,LIFNR,NAME1,EBELN,EBELP,BLDAT,BUDAT,MENGE,NETPR,WRBTR,MWSTS,FREIGHT,WAERS,RMWWR,ZTERM,LFBNR
INV-2026-00001,0000700001,Nordwind Industrie GmbH,4500000001,00010,2026-04-13,2026-04-14,23.0,458.09,10536.07,2001.85,120.0,EUR,12657.92,NT45,5000000001
INV-2026-00002,0000700002,Bluepeak Manufacturing AG,4500000002,00010,2026-02-13,2026-02-14,57.0,564.41,32171.37,6112.56,120.0,EUR,38403.93,NT45,5000000002
INV-2026-00003,0000700003,Vertex Trading BV,4500000003,00010,2026-04-14,2026-04-15,57.0,60.71,3460.47,657.49,69.21,EUR,4187.17,NT30,5000000003
INV-2026-00004,0000700004,Ravenna Trading BV,4500000004,00010,2026-03-21,2026-03-22,34.0,187.43,6372.62,1210.8,120.0,EUR,7703.42,NT45,5000000004
INV-2026-00005,0000700005,Kestrel Supply Ltd,4500000005,00010,2026-01-30,2026-01-31,36.0,110.43,3975.48,755.34,79.51,USD,4810.33,NT60,5000000005
INV-2026-00006,0000700006,Alpenrose Logistics AS,4500000006,00010,2026-01-21,2026-01-22,24.0,549.29,13182.96,2504.76,120.0,USD,15807.72,NT30,5000000006
INV-2026-00007,0000700007,Silverline Components SA,4500000007,00010,2026-02-16,2026-02-17,25.0,528.69,13217.25,2511.28,120.0,EUR,15848.53,NT30,5000000007
INV-2026-00008,0000700008,Bramble Technologies Oy,4500000008,00010,2026-02-15,2026-02-16,31.0,418.16,12962.96,2462.96,120.0,EUR,15545.92,NT30,5000000008
INV-2026-00009,0000700009,Cobalt Systems Inc,4500000009,00010,2026-02-24,2026-02-25,2.0,207.25,414.5,78.75,8.29,EUR,501.54,NT60,5000000009
INV-2026-00010,0000700010,Driftwood Industrie GmbH,4500000010,00010,2026-05-28,2026-05-29,8.0,218.33,1746.64,331.86,34.93,EUR,2113.43,NT60,5000000010
INV-2026-00011,0000700011,Ember Materials SpA,4500000011,00010,2026-05-27,2026-05-28,17.0,44.93,763.81,145.12,15.28,GBP,924.21,NT45,5000000011
INV-2026-00012,0000700012,Fairmont Systems Inc,4500000012,00010,2026-01-27,2026-01-28,55.0,51.71,2844.05,540.37,56.88,EUR,3441.3,NT45,5000000012
INV-2026-00013,0000700013,Granite Trading BV,4500000013,00010,2026-04-01,2026-04-02,42.0,209.63,8804.46,1672.85,120.0,EUR,10597.31,NT45,5000000013
INV-2026-00014,0000700014,Harbourview Components SA,4500000014,00010,2026-03-13,2026-03-14,21.0,504.95,10603.95,2014.75,120.0,EUR,12738.7,NT30,5000000014
INV-2026-00015,0000700015,Ironwood Supply Ltd,4500000015,00010,2026-04-30,2026-05-01,58.0,435.34,25249.72,4797.45,120.0,EUR,30167.17,NT60,5000000015
INV-2026-00016,0000700016,Juniper Technologies Oy,4500000016,00010,2026-05-23,2026-05-24,50.0,349.92,17496.0,3324.24,120.0,USD,20940.24,NT30,5000000016
INV-2026-00017,0000700017,Larkspur Manufacturing AG,4500000017,00010,2026-04-10,2026-04-11,57.0,146.13,8329.41,1582.59,120.0,GBP,10032.0,NT45,5000000017
INV-2026-00018,0000700018,Meridian Logistics AS,4500000018,00010,2026-03-29,2026-03-30,26.0,107.81,2803.06,532.58,56.06,USD,3391.7,NT45,5000000018
INV-2026-00019,0000700019,Northgate Industrie GmbH,4500000019,00010,2026-03-11,2026-03-12,35.0,82.36,2882.6,547.69,57.65,USD,3487.94,NT60,5000000019
INV-2026-00020,0000700020,Orchard Components SA,4500000020,00010,2026-02-15,2026-02-16,18.0,140.92,2536.56,481.95,50.73,EUR,3069.24,NT30,5000000020
INV-2026-00021,0000700021,Pinnacle Manufacturing AG,4500000021,00010,2026-06-06,2026-06-07,39.0,501.4,19554.6,3715.37,120.0,EUR,23389.97,NT45,5000000021
INV-2026-00022,0000700022,Quarry Materials SpA,4500000022,00010,2026-03-29,2026-03-30,47.0,320.6,15068.2,2862.96,120.0,EUR,18051.16,NT45,5000000022
INV-2026-00023,0000700023,Redstone Industrie GmbH,4500000023,00010,2026-02-23,2026-02-24,2.0,430.12,860.24,163.45,17.2,GBP,1040.89,NT60,5000000023
INV-2026-00024,0000700024,Summit Manufacturing AG,4500000024,00010,2026-03-21,2026-03-22,13.0,211.1,2744.3,521.42,54.89,USD,3320.61,NT60,5000000024
INV-2026-00025,0000700025,Thornbury Components SA,4500000025,00010,2026-02-07,2026-02-08,48.0,110.19,5289.12,1004.93,105.78,GBP,6399.83,NT30,5000000025
INV-2026-00026,0000700026,Umbra Systems Inc,4500000026,00010,2026-01-24,2026-01-25,7.0,513.51,3594.57,682.97,71.89,EUR,4349.43,NT30,5000000026
