EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MATKL,BUKRS,EKORG,EKGRP,WERKS,MENGE,MEINS,NETPR,WAERS,NETWR,BEDAT,EINDT,BUDAT,KONNR,ZTERM,FRGKE,ERNAM,AENAM,CHANGE_COUNT,POSTING_DATE,SPEND_CATEGORY,SUB_CATEGORY,CONTRACT_STATUS,PREFERRED_SUPPLIER,BASELINE_PRICE,ACTUAL_PRICE,PAYMENT_STATUS
5500035,00010,0000200022,Quarry Supply Ltd,SPM-100129,Stainless licence pack type 44,MG30,2000,2000,P04,2010,71.0,L,17.8,USD,1263.8,2023-12-12,2024-01-20,2024-01-21,460022329,Z045,Approved,BUYER09,BUYER06,1,2024-01-01,Raw Materials,Metals,Contracted,Preferred,17.8,17.8,Paid
5500035,00020,0000200022,Quarry Supply Ltd,SPM-100054,Stainless licence pack type 19,MG50,2000,2000,P04,2010,44.0,EA,183.87,USD,8090.28,2023-12-15,2023-12-30,2024-01-03,460022254,NT30,Approved,BUYER07,BUYER08,3,2024-01-01,Logistics,Warehousing,Contracted,Preferred,183.87,183.87,Paid
5500047,00010,0000200027,Valemont Technologies Oy,SPM-100357,Stainless cartridge type 30,MG55,2000,2000,P05,2020,3.0,EA,2106.16,USD,6318.48,2023-12-14,2024-01-08,2024-01-10,460027557,NT30,Approved,BUYER13,BUYER13,0,2024-01-01,Laboratory,Consumables,Contracted,Preferred,2106.16,2106.16,Paid
5501854,00010,0000200039,Inverness Technologies Oy,SPM-100036,High-temperature control unit type 13,MG15,4000,4000,P05,4010,57.0,L,493.0,CHF,28101.0,2023-12-27,2024-01-22,2024-01-22,460039236,NT60,Approved,BUYER09,BUYER11,2,2024-01-01,Components,Fasteners,Contracted,Preferred,493.0,493.0,Open
5501929,00010,0000200005,Kestrel Trading BV,SPM-100132,Low-friction control unit type 45,MG15,5000,5000,P05,5010,44.0,BOX,7202.54,SEK,316911.76,2023-12-14,2024-01-05,2024-01-02,460005332,Z030,Approved,BUYER03,BUYER01,0,2024-01-01,Components,Fasteners,Contracted,Preferred,7202.54,7202.54,Paid
5500036,00010,0000200022,Quarry Supply Ltd,SPM-100198,Insulated housing type 22,MG50,2000,2000,P05,2010,14.0,BOX,759.41,USD,10631.74,2023-12-17,2024-01-22,2024-01-22,460022398,NT45,Approved,BUYER06,BUYER14,0,2024-01-02,Logistics,Warehousing,Contracted,Preferred,759.41,759.41,Paid
5500040,00010,0000200023,Redstone Materials SpA,SPM-100102,High-temperature sensor type 35,MG50,3000,3000,P02,3010,21.0,PC,610.13,GBP,12812.73,2023-12-30,2024-02-06,2024-02-10,460023302,Z045,Approved,BUYER01,BUYER03,3,2024-01-02,Logistics,Freight,Contracted,Preferred,610.13,610.13,Open
5500040,00020,0000200023,Redstone Materials SpA,SPM-100240,Heavy-duty valve type 36,MG40,3000,3000,P01,3010,4.0,KG,769.47,GBP,3077.88,2023-12-30,2024-01-15,2024-01-14,460023440,NT30,Approved,BUYER02,BUYER01,2,2024-01-02,IT and Telecom,Software Licences,Contracted,Preferred,769.47,769.47,Overdue
5500040,00030,0000200023,Redstone Materials SpA,SPM-100093,Reinforced seal ring type 32,MG55,3000,3000,P01,3010,10.0,KG,905.52,GBP,9055.2,2023-12-14,2024-01-10,2024-01-09,460023293,Z030,Approved,BUYER08,BUYER02,3,2024-01-02,Laboratory,Consumables,Contracted,Preferred,905.52,905.52,Overdue
5500042,00010,0000200024,Summit Systems Inc,SPM-100090,Stainless clamp type 31,MG60,4000,4000,P03,4010,6.0,PC,1184.53,CHF,7107.18,2023-12-21,2024-01-17,2024-01-21,460024290,NT30,Approved,BUYER11,BUYER06,0,2024-01-02,Professional Services,Audit,Contracted,Preferred,1184.53,1184.53,Paid
