EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MATKL,BUKRS,EKORG,EKGRP,WERKS,MENGE,MEINS,NETPR,WAERS,NETWR,BEDAT,EINDT,BUDAT,KONNR,ZTERM,FRGKE,ERNAM,AENAM,CHANGE_COUNT
4500001,00010,0000100001,Nordwind Industrie GmbH,MAT-100098,Precision adapter type 15 (Raw steel and metals),MG20,1000,1000,P04,1020,307.0,TO,14.06,EUR,4316.42,2025-01-16,2025-02-06,2025-02-01,460001298,NT30,Approved,BUYER07,BUYER07,4
4500001,00020,0000100001,Nordwind Industrie GmbH,MAT-100266,Precision clamp type 39 (Raw steel and metals),MG20,1000,1000,P04,1020,263.0,TO,9.84,EUR,2587.92,2025-01-16,2025-02-06,2025-02-01,460001466,NT30,Approved,BUYER07,BUYER07,0
4500002,00010,0000100001,Nordwind Industrie GmbH,MAT-100098,Precision adapter type 15 (Raw steel and metals),MG20,1000,1000,P04,1010,244.0,TO,14.96,EUR,3650.24,2025-02-14,2025-03-14,2025-03-10,460001298,NT30,Approved,BUYER09,BUYER09,1
4500003,00010,0000100001,Nordwind Industrie GmbH,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,1000,1000,P02,1020,316.8,PC,27.46,EUR,8699.33,2025-04-01,2025-04-16,2025-04-12,460001403,NT30,Approved,BUYER09,BUYER09,3
4500004,00010,0000100001,Nordwind Industrie GmbH,MAT-100266,Precision clamp type 39 (Raw steel and metals),MG20,1000,1000,P06,1020,235.84,TO,10.23,EUR,2412.64,2025-05-15,2025-06-08,2025-06-07,460001466,NT30,Approved,BUYER01,BUYER01,3
4500004,00020,0000100001,Nordwind Industrie GmbH,MAT-100539,Insulated cartridge type 38 (Office and facility supplies),MG35,1000,1000,P06,1020,82.72,PC,74.56,EUR,6167.6,2025-05-15,2025-06-08,2025-06-07,460001739,NT30,Approved,BUYER01,BUYER01,0
4500005,00010,0000100001,Nordwind Industrie GmbH,MAT-100266,Precision clamp type 39 (Raw steel and metals),MG20,1000,1000,P01,1010,393.0,TO,9.78,EUR,3843.54,2025-06-26,2025-07-27,2025-07-28,460001466,NT30,Approved,BUYER04,BUYER04,1
4500005,00020,0000100001,Nordwind Industrie GmbH,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,1000,1000,P01,1010,22.0,EA,145.57,EUR,3202.54,2025-06-26,2025-07-27,2025-07-28,460001585,NT30,Approved,BUYER04,BUYER04,3
4500005,00030,0000100001,Nordwind Industrie GmbH,MAT-100539,Insulated cartridge type 38 (Office and facility supplies),MG35,1000,1000,P01,1010,379.0,PC,75.57,EUR,28641.03,2025-06-26,2025-07-27,2025-07-28,460001739,NT30,Approved,BUYER04,BUYER04,0
4500005,00040,0000100001,Nordwind Industrie GmbH,MAT-100098,Precision adapter type 15 (Raw steel and metals),MG20,1000,1000,P01,1010,25.0,TO,15.02,EUR,375.5,2025-06-26,2025-07-27,2025-07-28,460001298,NT30,Approved,BUYER04,BUYER04,0
4500006,00010,0000100001,Nordwind Industrie GmbH,MAT-100539,Insulated cartridge type 38 (Office and facility supplies),MG35,1000,1000,P02,1010,336.0,PC,75.31,EUR,25304.16,2025-07-26,2025-08-20,2025-08-20,460001739,NT30,Approved,BUYER03,BUYER03,0
4500006,00020,0000100001,Nordwind Industrie GmbH,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,1000,1000,P02,1010,43.0,EA,150.38,EUR,6466.34,2025-07-26,2025-08-20,2025-08-20,460001585,NT30,Approved,BUYER03,BUYER03,1
4500006,00030,0000100001,Nordwind Industrie GmbH,MAT-100266,Precision clamp type 39 (Raw steel and metals),MG20,1000,1000,P02,1010,101.0,TO,9.67,EUR,976.67,2025-07-26,2025-08-20,2025-08-20,460001466,NT30,Approved,BUYER03,BUYER03,4
4500007,00010,0000100001,Nordwind Industrie GmbH,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,1000,1000,P06,1020,122.0,PC,26.98,EUR,3291.56,2025-09-02,2025-10-04,2025-10-03,460001403,NT30,Open,BUYER04,BUYER04,2
4500008,00010,0000100001,Nordwind Industrie GmbH,MAT-100539,Insulated cartridge type 38 (Office and facility supplies),MG35,1000,1000,P06,1010,339.0,PC,70.32,EUR,23838.48,2025-10-05,2025-10-23,2025-10-20,460001739,NT30,Approved,BUYER02,BUYER02,4
