EVENT_ID,LIFNR,EVENT_TYPE,BUDAT,REFERENCE,SEVERITY,DESCRIPTION,WRBTR,WAERS
SRE-00001,0000300001,late_delivery,2026-05-11,4500099582,high,Goods receipt 26 days after the confirmed date.,,
SRE-00002,0000300001,late_delivery,2026-03-07,4500081277,high,Goods receipt 33 days after the confirmed date.,,
SRE-00003,0000300001,late_delivery,2026-01-25,4500053062,high,Goods receipt 30 days after the confirmed date.,,
SRE-00004,0000300001,late_delivery,2026-04-18,4500095001,high,Goods receipt 32 days after the confirmed date.,,
SRE-00005,0000300001,late_delivery,2025-11-09,4500092382,high,Goods receipt 4 days after the confirmed date.,,
SRE-00006,0000300001,late_delivery,2025-12-06,4500034969,high,Goods receipt 30 days after the confirmed date.,,
SRE-00007,0000300001,quality_incident,2026-02-22,QN-10001039,high,Non-conformance report raised; batch quarantined at goods receipt.,12666.0,EUR
SRE-00008,0000300001,quality_incident,2026-01-16,QN-10007653,high,Non-conformance report raised; batch quarantined at goods receipt.,20462.0,EUR
SRE-00009,0000300001,quality_incident,2026-05-23,QN-10006816,high,Non-conformance report raised; batch quarantined at goods receipt.,21736.0,EUR
SRE-00010,0000300001,quality_incident,2025-12-29,QN-10007115,high,Non-conformance report raised; batch quarantined at goods receipt.,18141.0,EUR
SRE-00011,0000300001,invoice_exception,2026-06-10,5105620204,medium,Invoice blocked: price and quantity did not match the purchase order.,2065.0,EUR
SRE-00012,0000300001,invoice_exception,2026-02-09,5105636607,medium,Invoice blocked: price and quantity did not match the purchase order.,5646.0,EUR
SRE-00013,0000300001,invoice_exception,2026-01-17,5105647882,medium,Invoice blocked: price and quantity did not match the purchase order.,3382.0,EUR
SRE-00014,0000300001,invoice_exception,2025-10-30,5105619607,medium,Invoice blocked: price and quantity did not match the purchase order.,34700.0,EUR
SRE-00015,0000300001,compliance_finding,2026-04-03,CF-2026-920,critical,Supplier audit finding recorded and not yet closed.,,
SRE-00016,0000300001,compliance_finding,2026-05-11,CF-2026-547,critical,Supplier audit finding recorded and not yet closed.,,
SRE-00017,0000300001,payment_default,2026-01-04,AP-2026-708,critical,Payment default recorded by accounts payable.,50109.0,EUR
SRE-00018,0000300001,payment_default,2026-04-01,AP-2026-314,critical,Payment default recorded by accounts payable.,67233.0,EUR
SRE-00019,0000300002,late_delivery,2026-04-19,4500069419,high,Goods receipt 18 days after the confirmed date.,,
SRE-00020,0000300002,late_delivery,2026-03-06,4500045935,high,Goods receipt 34 days after the confirmed date.,,
SRE-00021,0000300002,late_delivery,2026-06-23,4500081144,high,Goods receipt 2 days after the confirmed date.,,
SRE-00022,0000300002,late_delivery,2026-04-10,4500039431,high,Goods receipt 30 days after the confirmed date.,,
SRE-00023,0000300002,late_delivery,2026-01-29,4500075293,high,Goods receipt 27 days after the confirmed date.,,
