EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MENGE,NETPR,WAERS,ZTERM,BEDAT,PO_STATUS
4500000001,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,23.0,458.09,EUR,NT45,2026-03-13,Open
4500000002,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,57.0,564.41,EUR,NT45,2026-01-20,Open
4500000003,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,57.0,60.71,EUR,NT30,2026-03-31,Open
4500000004,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,34.0,187.43,EUR,NT45,2026-03-10,Open
4500000005,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,36.0,110.43,USD,NT60,2026-01-09,Open
4500000006,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,24.0,549.29,USD,NT30,2026-01-06,Open
4500000007,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,25.0,528.69,EUR,NT30,2026-02-08,Open
4500000008,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,31.0,418.16,EUR,NT30,2026-02-01,Open
4500000009,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,2.0,207.25,EUR,NT60,2026-02-14,Open
4500000010,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,8.0,218.33,EUR,NT60,2026-05-11,Open
4500000011,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,17.0,44.93,GBP,NT45,2026-05-05,Open
4500000012,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,55.0,51.71,EUR,NT45,2026-01-14,Open
4500000013,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,42.0,209.63,EUR,NT45,2026-03-14,Open
4500000014,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,21.0,504.95,EUR,NT30,2026-02-21,Open
4500000015,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,58.0,435.34,EUR,NT60,2026-04-13,Open
4500000016,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,50.0,349.92,USD,NT30,2026-05-02,Open
4500000017,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,57.0,146.13,GBP,NT45,2026-04-01,Open
4500000018,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,26.0,107.81,USD,NT45,2026-03-17,Open
4500000019,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,35.0,82.36,USD,NT60,2026-02-19,Open
4500000020,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,18.0,140.92,EUR,NT30,2026-01-30,Open
4500000021,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,39.0,501.4,EUR,NT45,2026-05-07,Open
4500000022,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,47.0,320.6,EUR,NT45,2026-02-28,Open
4500000023,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,2.0,430.12,GBP,NT60,2026-01-26,Open
4500000024,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,13.0,211.1,USD,NT60,2026-03-04,Open
4500000025,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,48.0,110.19,GBP,NT30,2026-01-19,Open
4500000026,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,7.0,513.51,EUR,NT30,2026-01-08,Open
4500000027,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,26.0,477.37,GBP,NT60,2026-02-08,Open
4500000028,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,2.0,104.61,EUR,NT30,2026-05-01,Open
4500000029,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,54.0,444.14,GBP,NT30,2026-04-09,Open
4500000030,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,47.0,351.48,EUR,NT60,2026-03-15,Open
4500000031,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,46.0,92.23,GBP,NT30,2026-03-24,Open
4500000032,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,34.0,401.12,USD,NT45,2026-02-01,Open
4500000033,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,17.0,470.93,GBP,NT30,2026-04-20,Open
4500000034,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,37.0,111.1,EUR,NT60,2026-03-16,Open
4500000035,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,9.0,79.75,EUR,NT30,2026-01-18,Open
4500000036,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,14.0,594.47,EUR,NT45,2026-02-13,Open
4500000037,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,24.0,555.49,USD,NT45,2026-02-22,Open
4500000038,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,16.0,140.08,EUR,NT45,2026-03-24,Open
