LIFNR,NAME1,MATERIALS_SUPPLIED,PLANTS_SERVED,REGIONS_SERVED,NETPR,WAERS,PLIFZ,AVAILABLE_CAPACITY,OTD,QUALITY_SCORE,DEFECT_RATE,RISK_SCORE,ESG_SCORE,CONTRACT_STATUS,CONTRACT_EXPIRATION,ZTERM,ORDER_COUNT,HISTORICAL_SPEND,LAND1,SPEND_CATEGORY,OPEN_PO_COUNT,ACTIVE_CONTRACTS,KONNR,DELIVERY_COUNT,LATE_DELIVERY_COUNT,AVG_DELAY_DAYS,QUALITY_INCIDENTS,INVOICE_COUNT,INVOICE_EXCEPTIONS,DISPUTED_INVOICES,CREDIT_SCORE,DPO,PAYMENT_DEFAULTS,FINANCIAL_DISTRESS,CATEGORY_SPEND_SHARE,SINGLE_SOURCE_MATERIALS,COMPLIANCE_FINDINGS,CERTIFICATION_STATUS,AUDIT_STATUS,LAST_AUDIT_DATE,CAPACITY_UTILIZATION,LEAD_TIME_VARIABILITY,ALTERNATIVE_SUPPLIERS
0000300001,Zephyr Continental Holdings AG,MAT-1000;MAT-1010;MAT-1020,1010;1020,EU,240.0,EUR,52,2200.0,74.0,69.0,6.8,88.0,38.0,Under negotiation,2027-01-15,NT60,210,4150000.0,TR,Electronic Components,31,1,4600008101,90,22,12.0,8,120,26,6,40.0,78.0,3,True,60.0,5,4,Expiring,Overdue,2025-03-11,94.0,12.0,1
0000300002,Ravenna Freight & Haulage Ltd,MAT-1030;MAT-1040,1010;2010,APAC;EU,165.0,EUR,42,3100.0,58.0,88.0,2.4,64.0,70.0,Active,2027-08-20,NT45,180,1950000.0,VN,Logistics Services,24,2,4600008102,140,68,19.5,2,150,9,1,74.0,46.0,0,False,22.0,1,0,Valid,Passed,2026-02-01,88.0,9.0,3
0000300003,Kestrel Precision Castings SpA,MAT-1050;MAT-1060;MAT-1070,1010;3010,APAC,198.0,EUR,46,2600.0,86.0,61.0,9.4,61.0,52.0,Active,2027-05-10,NT30,145,1420000.0,CN,Mechanical Parts,19,1,4600008103,110,19,6.0,15,130,20,3,60.0,61.0,1,False,40.0,3,2,Expiring,Conditional,2025-12-03,90.0,10.0,2
0000300004,Bramble Iron & Alloys Ltda,MAT-1080;MAT-1090,1010,LATAM,132.0,USD,44,4200.0,85.0,79.0,4.6,72.0,48.0,Active,2027-03-18,NT60,98,2260000.0,BR,Raw Materials,12,1,4600008104,80,15,6.5,5,90,14,4,26.0,96.0,6,True,44.0,3,2,Expiring,Conditional,2025-08-15,89.0,9.5,2
0000300005,Cobalt Speciality Chemicals BV,MAT-1100;MAT-1110,1010;1020,EU;NA,305.0,EUR,26,1500.0,93.0,90.0,1.6,55.0,72.0,No contract,,NT30,260,3800000.0,DE,Specialty Chemicals,22,0,,70,6,2.2,1,60,4,1,78.0,41.0,0,False,92.0,11,0,Valid,Passed,2026-03-28,86.0,4.5,0
0000300006,Fairmont Digital Systems Oy,MAT-1000;MAT-1110,1010,EU;NA,410.0,EUR,22,900.0,94.0,91.0,1.4,38.0,74.0,Expiring,2026-07-19,NT45,76,1180000.0,PL,IT Hardware,9,1,4600008106,60,4,1.8,1,70,3,0,80.0,38.0,0,False,18.0,1,0,Valid,Passed,2026-03-03,74.0,3.5,4
0000300007,Harbourview Packaging Sp. z o.o.,MAT-1020;MAT-1030,1010;4010,EU;NA,88.0,EUR,30,5200.0,92.0,88.0,2.0,58.0,68.0,Active,2027-02-12,Z030,190,1640000.0,IT,Packaging,17,2,4600008107,85,8,2.6,2,96,34,11,72.0,55.0,1,False,28.0,2,1,Valid,Conditional,2025-10-14,80.0,5.0,3
0000300008,Ironwood Industrial Supplies Oy,MAT-1040;MAT-1050,1010;2010,APAC,119.0,EUR,50,3400.0,84.0,80.0,4.2,69.0,18.0,Active,2027-06-05,NT45,132,1310000.0,IN,MRO Supplies,14,1,4600008108,95,19,7.5,5,110,18,4,58.0,64.0,2,False,42.0,3,8,Expired,Failed,2025-09-22,91.0,11.0,2
0000300009,Larkspur Emerging Components Ltd,,,,,,,,,,,,61.0,,,,,,PT,Electronic Components,,,,,,,,,,,,,,,,,,,,,,,
0000300010,Driftwood Components SA,MAT-1010;MAT-1020;MAT-1040;MAT-1080,1010;2010,APAC;EU,346.8,GBP,23,4825.0,94.6,89.8,2.39,35.0,74.5,Active,2028-04-12,Z045,199,1141040.0,DK,Mechanical Parts,4,1,4600081009,62,3,3.4,3,220,8,1,77.6,48.9,0,False,22.9,1,1,Valid,Passed,2025-10-06,72.4,4.1,4
