record_identifier,po_number,po_item,supplier_id,expected_rule_id,expected_risk,expected_severity,expected_scope,severity_may_escalate,reason
4500548,4500548,,,PO-R001,Duplicate purchase order,high,purchase_order,yes,"Exact copy of purchase order 4500411 on the same supplier, raised 3 day(s) later with an identical value."
4500549,4500549,,,PO-R001,Duplicate purchase order,high,purchase_order,yes,"Exact copy of purchase order 4500281 on the same supplier, raised 4 day(s) later with an identical value."
4500550,4500550,,,PO-R001,Duplicate purchase order,high,purchase_order,yes,"Exact copy of purchase order 4500523 on the same supplier, raised 2 day(s) later with an identical value."
4500551,4500551,,,PO-R001,Duplicate purchase order,high,purchase_order,yes,"Exact copy of purchase order 4500515 on the same supplier, raised 2 day(s) later with an identical value."
4500480/00040,4500480,00040,,PO-R002,Duplicate line item,medium,purchase_order,yes,"Item 00040 repeats item 00010: same material, quantity and unit price inside the same purchase order."
4500305/00030,4500305,00030,,PO-R002,Duplicate line item,medium,purchase_order,yes,"Item 00030 repeats item 00010: same material, quantity and unit price inside the same purchase order."
4500504/00030,4500504,00030,,PO-R002,Duplicate line item,medium,purchase_order,yes,"Item 00030 repeats item 00010: same material, quantity and unit price inside the same purchase order."
4500525/00030,4500525,00030,,PO-R002,Duplicate line item,medium,purchase_order,yes,"Item 00030 repeats item 00010: same material, quantity and unit price inside the same purchase order."
"4500552, 4500553, 4500554, 4500555",4500552,,,PO-R003,Split purchase,high,purchase_order,yes,"Four orders between 8,200 and 9,900 base currency raised on the same supplier within 5 days; combined value crosses the 25,000 bundling threshold while every single order stays below it."
"4500556, 4500557, 4500558, 4500559",4500556,,,PO-R003,Split purchase,high,purchase_order,yes,"Four orders between 8,200 and 9,900 base currency raised on the same supplier within 5 days; combined value crosses the 25,000 bundling threshold while every single order stays below it."
"4500560, 4500561, 4500562, 4500563",4500560,,,PO-R003,Split purchase,high,purchase_order,yes,"Four orders between 8,200 and 9,900 base currency raised on the same supplier within 5 days; combined value crosses the 25,000 bundling threshold while every single order stays below it."
4500564,4500564,,,PO-R004,Order value just below an approval threshold,medium,purchase_order,yes,"Order built to 9,902.64 document currency so that its base value lands within 3% below the 10,000 release threshold."
4500565,4500565,,,PO-R004,Order value just below an approval threshold,medium,purchase_order,yes,"Order built to 10,798.63 document currency so that its base value lands within 3% below the 10,000 release threshold."
4500566,4500566,,,PO-R004,Order value just below an approval threshold,medium,purchase_order,yes,"Order built to 42,306.44 document currency so that its base value lands within 3% below the 50,000 release threshold."
4500567,4500567,,,PO-R004,Order value just below an approval threshold,medium,purchase_order,yes,"Order built to 46,760.96 document currency so that its base value lands within 3% below the 50,000 release threshold."
4500568,4500568,,,PO-R004,Order value just below an approval threshold,medium,purchase_order,yes,"Order built to 247,759.66 document currency so that its base value lands within 3% below the 250,000 release threshold."
4500425/00020,4500425,00020,,PO-R005,Unusual unit price increase,high,purchase_order,yes,Unit price raised by 51% versus the previous order of material MAT-100560 from the same supplier (alert level is 20%). May also trigger PO-R006.
4500393/00010,4500393,00010,,PO-R005,Unusual unit price increase,high,purchase_order,yes,Unit price raised by 49% versus the previous order of material MAT-100252 from the same supplier (alert level is 20%). May also trigger PO-R006.
4500166/00030,4500166,00030,,PO-R005,Unusual unit price increase,high,purchase_order,yes,Unit price raised by 35% versus the previous order of material MAT-100133 from the same supplier (alert level is 20%). May also trigger PO-R006.
4500440/00010,4500440,00010,,PO-R005,Unusual unit price increase,high,purchase_order,yes,Unit price raised by 66% versus the previous order of material MAT-100427 from the same supplier (alert level is 20%). May also trigger PO-R006.
4500246/00020,4500246,00020,,PO-R006,Price variance for the same material,medium,purchase_order,yes,Unit price set to 62% above the median paid for material MAT-100014 across the dataset (alert level is 25%).
4500444/00030,4500444,00030,,PO-R006,Price variance for the same material,medium,purchase_order,yes,Unit price set to 63% above the median paid for material MAT-100336 across the dataset (alert level is 25%).
