MBLNR,EBELN,EBELP,BUDAT,MENGE,ACCEPTED_QTY,REJECTED_QTY
5000000001,4500000001,00010,2026-03-27,23.0,23.0,0.0
5000000002,4500000002,00010,2026-02-03,57.0,57.0,0.0
5000000003,4500000003,00010,2026-04-08,57.0,57.0,0.0
5000000004,4500000004,00010,2026-03-13,34.0,34.0,0.0
5000000005,4500000005,00010,2026-01-13,36.0,36.0,0.0
5000000006,4500000006,00010,2026-01-09,24.0,24.0,0.0
5000000007,4500000007,00010,2026-02-13,25.0,25.0,0.0
5000000008,4500000008,00010,2026-02-12,31.0,31.0,0.0
5000000009,4500000009,00010,2026-02-17,2.0,2.0,0.0
5000000010,4500000010,00010,2026-05-19,8.0,8.0,0.0
5000000011,4500000011,00010,2026-05-09,17.0,17.0,0.0
5000000012,4500000012,00010,2026-01-24,55.0,55.0,0.0
5000000013,4500000013,00010,2026-03-21,42.0,42.0,0.0
5000000014,4500000014,00010,2026-03-05,21.0,21.0,0.0
5000000015,4500000015,00010,2026-04-27,58.0,58.0,0.0
5000000016,4500000016,00010,2026-05-13,50.0,50.0,0.0
5000000017,4500000017,00010,2026-04-05,57.0,57.0,0.0
5000000018,4500000018,00010,2026-03-21,26.0,26.0,0.0
5000000019,4500000019,00010,2026-03-01,35.0,35.0,0.0
5000000020,4500000020,00010,2026-02-08,18.0,18.0,0.0
5000000021,4500000021,00010,2026-05-20,39.0,39.0,0.0
5000000022,4500000022,00010,2026-03-12,47.0,47.0,0.0
5000000023,4500000023,00010,2026-02-05,2.0,2.0,0.0
5000000024,4500000024,00010,2026-03-10,13.0,13.0,0.0
5000000025,4500000025,00010,2026-01-24,48.0,48.0,0.0
5000000026,4500000026,00010,2026-01-17,7.0,7.0,0.0
5000000027,4500000027,00010,2026-02-13,26.0,26.0,0.0
5000000028,4500000028,00010,2026-05-13,2.0,2.0,0.0
5000000029,4500000029,00010,2026-04-24,54.0,54.0,0.0
5000000030,4500000030,00010,2026-03-28,47.0,47.0,0.0
5000000031,4500000031,00010,2026-04-04,46.0,46.0,0.0
5000000032,4500000032,00010,2026-02-11,34.0,34.0,0.0
5000000033,4500000033,00010,2026-05-04,17.0,17.0,0.0
5000000034,4500000034,00010,2026-03-26,37.0,37.0,0.0
5000000035,4500000035,00010,2026-02-01,9.0,9.0,0.0
5000000036,4500000036,00010,2026-02-16,14.0,14.0,0.0
5000000037,4500000037,00010,2026-03-03,24.0,24.0,0.0
5000000038,4500000038,00010,2026-03-28,16.0,16.0,0.0
5000000039,4500000039,00010,2026-05-13,47.0,47.0,0.0
5000000040,4500000040,00010,2026-04-08,51.0,51.0,0.0
5000000041,4500000041,00010,2026-03-27,58.0,58.0,0.0
5000000042,4500000042,00010,2026-01-16,34.0,34.0,0.0
5000000043,4500000043,00010,2026-02-20,41.0,41.0,0.0
5000000044,4500000044,00010,2026-01-13,35.0,35.0,0.0
5000000045,4500000045,00010,2026-04-14,35.0,35.0,0.0
5000000046,4500000046,00010,2026-02-18,54.0,54.0,0.0
5000000047,4500000047,00010,2026-03-16,19.0,19.0,0.0
5000000048,4500000048,00010,2026-04-01,5.0,5.0,0.0
5000000049,4500000049,00010,2026-04-14,47.0,47.0,0.0
5000000050,4500000050,00010,2026-03-21,10.0,10.0,0.0
5000000051,4500000051,00010,2026-01-05,28.0,28.0,0.0
5000000052,4500000052,00010,2026-02-24,48.0,48.0,0.0
5000000053,4500000053,00010,2026-03-13,14.0,14.0,0.0
5000000054,4500000054,00010,2026-04-08,44.0,44.0,0.0
5000000055,4500000055,00010,2026-01-24,12.0,12.0,0.0
5000000056,4500000056,00010,2026-02-09,3.0,3.0,0.0
5000000057,4500000057,00010,2026-03-26,6.0,6.0,0.0
5000000058,4500000058,00010,2026-01-14,59.0,59.0,0.0
5000000059,4500000059,00010,2026-01-28,18.0,18.0,0.0
5000000060,4500000060,00010,2026-02-12,47.0,47.0,0.0
5000000061,4500000061,00010,2026-04-16,41.0,41.0,0.0
5000000062,4500000062,00010,2026-02-20,55.0,55.0,0.0
5000000063,4500000063,00010,2026-04-07,60.0,60.0,0.0
5000000064,4500000064,00010,2026-05-15,2.0,2.0,0.0
5000000065,4500000065,00010,2026-04-15,4.0,4.0,0.0
5000000066,4500000066,00010,2026-02-14,51.0,51.0,0.0
5000000067,4500000067,00010,2026-04-25,36.0,36.0,0.0
5000000068,4500000068,00010,2026-01-15,32.0,32.0,0.0
5000000069,4500000069,00010,2026-05-12,51.0,51.0,0.0
5000000070,4500000070,00010,2026-04-11,2.0,2.0,0.0
5000000071,4500000071,00010,2026-05-02,46.0,46.0,0.0
5000000072,4500000072,00010,2026-04-23,60.0,60.0,0.0
5000000073,4500000073,00010,2026-04-01,49.0,49.0,0.0
5000000074,4500000074,00010,2026-01-26,37.0,37.0,0.0
5000000075,4500000075,00010,2026-03-16,54.0,54.0,0.0
5000000076,4500000076,00010,2026-04-05,52.0,52.0,0.0
5000000077,4500000077,00010,2026-02-02,57.0,57.0,0.0
5000000078,4500000078,00010,2026-05-05,36.0,36.0,0.0
5000000079,4500000079,00010,2026-04-22,11.0,11.0,0.0
5000000080,4500000080,00010,2026-04-20,39.0,39.0,0.0
5000000081,4500000081,00010,2026-05-20,46.0,46.0,0.0
5000000082,4500000082,00010,2026-01-20,38.0,38.0,0.0
5000000083,4500000083,00010,2026-01-31,51.0,51.0,0.0
5000000084,4500000084,00010,2026-05-01,5.0,5.0,0.0
5000000085,4500000085,00010,2026-04-16,5.0,5.0,0.0
5000000086,4500000086,00010,2026-03-31,31.0,31.0,0.0
5000000087,4500000087,00010,2026-02-12,58.0,58.0,0.0
5000000088,4500000088,00010,2026-04-07,13.0,13.0,0.0
5000000089,4500000089,00010,2026-01-13,20.0,20.0,0.0
5000000090,4500000090,00010,2026-04-21,36.0,36.0,0.0
5000000091,4500000091,00010,2026-02-21,40.0,40.0,0.0
5000000092,4500000092,00010,2026-02-22,46.0,46.0,0.0
5000000093,4500000093,00010,2026-04-18,12.0,12.0,0.0
5000000094,4500000094,00010,2026-01-14,43.0,43.0,0.0
5000000095,4500000095,00010,2026-01-24,46.0,46.0,0.0
5000000096,4500000096,00010,2026-04-25,24.0,24.0,0.0
5000000097,4500000097,00010,2026-04-06,7.0,7.0,0.0
5000000098,4500000098,00010,2026-02-26,3.0,3.0,0.0
5000000099,4500000099,00010,2026-01-13,34.0,34.0,0.0
5000000100,4500000100,00010,2026-01-14,20.0,20.0,0.0
5000000101,4500000101,00010,2026-02-07,44.0,44.0,0.0
5000000102,4500000102,00010,2026-05-04,5.0,5.0,0.0
5000000103,4500000103,00010,2026-02-08,43.0,43.0,0.0
5000000104,4500000104,00010,2026-04-10,60.0,60.0,0.0
5000000105,4500000105,00010,2026-01-18,14.0,14.0,0.0
5000000106,4500000106,00010,2026-03-12,47.0,47.0,0.0
5000000107,4500000107,00010,2026-02-13,26.0,26.0,0.0
5000000108,4500000108,00010,2026-03-12,42.0,42.0,0.0
5000000109,4500000109,00010,2026-05-01,13.0,13.0,0.0
5000000110,4500000110,00010,2026-02-26,22.0,22.0,0.0
5000000111,4500000111,00010,2026-04-03,56.0,56.0,0.0
5000000112,4500000112,00010,2026-04-20,12.0,12.0,0.0
5000000113,4500000113,00010,2026-01-16,28.0,28.0,0.0
5000000114,4500000114,00010,2026-05-08,39.0,39.0,0.0
5000000115,4500000115,00010,2026-05-13,45.0,45.0,0.0
5000000116,4500000116,00010,2026-02-13,49.0,49.0,0.0
5000000117,4500000117,00010,2026-04-20,8.0,8.0,0.0
5000000118,4500000118,00010,2026-05-05,7.0,7.0,0.0
5000000119,4500000119,00010,2026-01-22,51.0,51.0,0.0
5000000120,4500000120,00010,2026-03-23,7.0,7.0,0.0
5000000121,4500000121,00010,2026-01-31,3.0,3.0,0.0
5000000122,4500000122,00010,2026-05-11,33.0,33.0,0.0
5000000123,4500000123,00010,2026-05-11,11.0,11.0,0.0
5000000124,4500000124,00010,2026-04-01,40.0,40.0,0.0
5000000125,4500000125,00010,2026-02-24,37.0,37.0,0.0
5000000126,4500000126,00010,2026-05-01,17.0,17.0,0.0
5000000127,4500000127,00010,2026-03-02,52.0,52.0,0.0
5000000128,4500000128,00010,2026-04-12,58.0,58.0,0.0
5000000129,4500000129,00010,2026-03-05,16.0,16.0,0.0
5000000130,4500000130,00010,2026-04-09,46.0,46.0,0.0
5000000131,4500000131,00010,2026-05-22,1.0,1.0,0.0
5000000132,4500000132,00010,2026-04-26,14.0,14.0,0.0
5000000133,4500000133,00010,2026-05-04,5.0,5.0,0.0
5000000134,4500000134,00010,2026-04-26,10.0,10.0,0.0
5000000135,4500000135,00010,2026-03-13,51.0,51.0,0.0
5000000136,4500000136,00010,2026-04-17,36.0,36.0,0.0
5000000137,4500000137,00010,2026-01-24,17.0,17.0,0.0
5000000138,4500000138,00010,2026-04-11,44.0,44.0,0.0
5000000139,4500000139,00010,2026-01-22,18.0,18.0,0.0
5000000140,4500000140,00010,2026-03-24,24.0,24.0,0.0
5000000141,4500000141,00010,2026-02-05,27.0,27.0,0.0
5000000142,4500000142,00010,2026-01-29,12.0,12.0,0.0
5000000143,4500000143,00010,2026-02-20,26.0,26.0,0.0
5000000144,4500000144,00010,2026-04-25,36.0,36.0,0.0
5000000145,4500000145,00010,2026-04-08,55.0,55.0,0.0
5000000146,4500000146,00010,2026-04-23,9.0,9.0,0.0
5000000147,4500000147,00010,2026-03-27,57.0,57.0,0.0
5000000148,4500000148,00010,2026-03-05,32.0,32.0,0.0
5000000149,4500000149,00010,2026-03-21,42.0,42.0,0.0
5000000150,4500000150,00010,2026-01-06,8.0,8.0,0.0
5000000151,4500000151,00010,2026-04-27,36.0,36.0,0.0
5000000152,4500000152,00010,2026-04-07,21.0,21.0,0.0
5000000153,4500000153,00010,2026-02-07,34.0,34.0,0.0
5000000154,4500000154,00010,2026-03-19,13.0,13.0,0.0
5000000155,4500000155,00010,2026-02-04,23.0,23.0,0.0
5000000156,4500000156,00010,2026-02-22,55.0,55.0,0.0
5000000157,4500000157,00010,2026-03-25,54.0,54.0,0.0
5000000158,4500000158,00010,2026-01-19,32.0,32.0,0.0
5000000159,4500000159,00010,2026-02-12,9.0,9.0,0.0
5000000160,4500000160,00010,2026-01-15,38.0,38.0,0.0
5000000161,4500000161,00010,2026-04-21,10.0,10.0,0.0
5000000162,4500000162,00010,2026-03-18,29.0,29.0,0.0
5000000163,4500000163,00010,2026-04-28,36.0,36.0,0.0
5000000164,4500000164,00010,2026-03-10,57.0,57.0,0.0
5000000165,4500000165,00010,2026-04-27,36.0,36.0,0.0
5000000166,4500000166,00010,2026-05-09,10.0,10.0,0.0
5000000167,4500000167,00010,2026-03-04,11.0,11.0,0.0
5000000168,4500000168,00010,2026-03-04,32.0,32.0,0.0
5000000169,4500000169,00010,2026-04-06,11.0,11.0,0.0
5000000170,4500000170,00010,2026-01-11,35.0,35.0,0.0
5000000171,4500000171,00010,2026-03-19,44.0,44.0,0.0
5000000172,4500000172,00010,2026-05-05,58.0,58.0,0.0
5000000173,4500000173,00010,2026-04-28,13.0,13.0,0.0
5000000174,4500000174,00010,2026-05-18,45.0,45.0,0.0
5000000175,4500000175,00010,2026-04-29,48.0,48.0,0.0
5000000176,4500000176,00010,2026-05-07,27.0,27.0,0.0
5000000177,4500000177,00010,2026-01-18,43.0,43.0,0.0
5000000178,4500000178,00010,2026-01-08,4.0,4.0,0.0
5000000179,4500000179,00010,2026-03-27,60.0,60.0,0.0
5000000180,4500000180,00010,2026-03-17,48.0,48.0,0.0
5000000181,4500000181,00010,2026-05-16,41.0,41.0,0.0
5000000182,4500000182,00010,2026-04-23,12.0,12.0,0.0
5000000183,4500000183,00010,2026-01-18,58.0,58.0,0.0
5000000184,4500000184,00010,2026-03-27,41.0,41.0,0.0
5000000185,4500000185,00010,2026-02-13,35.0,35.0,0.0
5000000186,4500000186,00010,2026-02-03,9.0,9.0,0.0
5000000187,4500000187,00010,2026-05-08,2.0,2.0,0.0
5000000188,4500000188,00010,2026-02-24,47.0,47.0,0.0
5000000189,4500000189,00010,2026-03-05,54.0,54.0,0.0
5000000190,4500000190,00010,2026-04-17,27.0,27.0,0.0
5000000191,4500000191,00010,2026-02-24,36.0,36.0,0.0
5000000192,4500000192,00010,2026-04-10,53.0,53.0,0.0
5000000193,4500000193,00010,2026-01-19,17.0,17.0,0.0
5000000194,4500000194,00010,2026-05-05,45.0,45.0,0.0
5000000195,4500000195,00010,2026-03-15,30.0,30.0,0.0
5000000196,4500000196,00010,2026-04-07,39.0,39.0,0.0
5000000197,4500000197,00010,2026-04-09,5.0,5.0,0.0
5000000198,4500000198,00010,2026-03-11,59.0,59.0,0.0
5000000199,4500000199,00010,2026-03-20,9.0,9.0,0.0
5000000200,4500000200,00010,2026-04-13,10.0,10.0,0.0
5000000201,4500000201,00010,2026-02-02,60.0,60.0,0.0
